Title,Comments,Date,Publisher,CRC-32,Size,Mapping,MESS ID,Link
Alien Ambush,[m e8069034][o $FFs in first 4KB],1983,DANA,ad7bc30b,8KB,Standard,alienamb,"http://www.atarimania.com/game-atari-400-800-xl-xe-alien-ambush_183
http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2403334"
Alien Ambush,[m e8069034][o First 4KB zeroed by k1w1],1983,DANA,f7ee09b1,8KB,Standard,,http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2240191
Alien Garden,[!],1982,Epyx,3e27ed0f,8KB,Standard,alngrden,"http://www.atarimania.com/game-atari-400-800-xl-xe-alien-garden_196.html
http://www.atarimania.com/atari_forum/viewtopic.php?f=2&t=2304#p15819
http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2706571"
Alpha Shield,[!],1983,Sirius,0d33d77c,4KB,Standard,,
Alpha Shield,[m0d33d77c][o $FFs in first 4KB],1983,Sirius,484e8443,8KB,Standard,alphashd,"http://www.atarimania.com/atari_forum/viewtopic.php?f=2&t=2304#p15819
http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2706571"
Alpha Shield,[m 0d33d77c][o First 4KB zeroed by k1w1],1983,Sirius,12db4ef9,8KB,Standard,,http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2240191
Alpha Shield,[m 0d33d77c][o garbage in first 4KB],1983,Sirius,a7ade454,8KB,Standard,,http://www.atarimania.com/game-atari-400-800-xl-xe-alpha-shield_226.html
Alphabet Zoo,[!],1983,Spinnaker,c9613ecd,16KB,Standard,alphazoo,"http://www.atarimania.com/game-atari-400-800-xl-xe-alphabet-zoo_231.html
http://www.atarimania.com/atari_forum/viewtopic.php?f=2&t=2304#p15819
http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2706571"
Alternate Reality: The City,[!] WIP. Converted from disk original.,2005-05-20,Mark Keates,c8e14ce2,1024KB,AtariMax,,http://atariage.com/forums/topic/69876-ar-city-flashcart-stage-1/?p=858458
Alternate Reality: The City,[!] WIP. Converted from disk original.,2005-05-25,Mark Keates,52cbd474,1024KB,AtariMax,,http://atariage.com/forums/topic/70147-ar-city-flashcart-stage-2/?p=861488
Amazing Maze,,1998,Video 61,,,,,http://www.atarimax.com/jindroush.atari.org/acdpx_ne.html
Animated Puzzle,Prototype.,1984,Atari,90f37afe,16KB,Standard,animpuzl,http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2474062
Animated Puzzle,[m 90f37afe][cr] At $8002 code that writes to memory area replaced by NOPs.,1984,Atari,1a4c75a7,16KB,Standard,,"http://www.atarimania.com/game-atari-400-800-xl-xe-animated-puzzle_282.html
http://atariage.com/forums/topic/195356-some-a8ti-and-colecovision-protos-and-some-questions/?p=2499948"
Ant Eater,,1982,Romox,c7290722,8KB,Standard,anteater,http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2706571
Ant Eater,[m c7290722] Difference at $1FF0-$1FFF. Doesn't seem to affect gameplay.,1982,Romox,73a3a64c,8KB,Standard,anteatra,http://www.atarimania.com/game-atari-400-800-xl-xe-ant-eater_286.html
Ant Eater,[m c7290722][h] NOPs instead of code that puts $8700 (cart's init address) into CASINI. Doesn't seem to affect the operation.,1982,Romox,18702a0f,8KB,Standard,,
AProm (EEPROM Burner),,,Walling Co,,,,,http://www.atarimax.com/jindroush.atari.org/acdpna.html
AProm XL (EEPROM Burner),,,Walling Co,,,,,http://www.atarimax.com/jindroush.atari.org/acdpna.html
Archon: The Light and the Dark,[!],1987,Atari,2636829f,32KB,XEGS,archon,"http://www.atarimania.com/game-atari-400-800-xl-xe-archon_315.html
http://www.atarimania.com/atari_forum/viewtopic.php?f=2&t=2304#p15819
http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2706571"
Arex,pirate,1983,Adventure International,2a080e7d,16KB,Standard,arex,http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2240191
Arkanoid,,,Video 61,,,,,http://www.atarimax.com/jindroush.atari.org/acdpx_ne.html
Assembler Editor,"[!] early version, does not show error count after assembling. The earliest cartridges are named Editor Assembler. Recognized by Checksum Verifier (ASSEMBLER/EDITOR, checksum $DC4A).",1979,Atari,7dd6196c,8KB,Standard,editasm,"http://atariage.com/forums/topic/177854-where-to-see-version-number-of-assembler-editor/
http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2706571"
Assembler Editor rev. B,"[!][a] later version, shows error count after assembling. Recognized by Checksum Verifier (ASSEM/EDITOR REVB, checksum $AD83).",1980,Atari,ee72eeea,8KB,Standard,asmedit,"http://atariage.com/forums/topic/177854-where-to-see-version-number-of-assembler-editor/
http://www.atarimania.com/utility-atari-400-800-xl-xe-assembler-editor_19777.html"
AST 2000,"The real cartridge contained a 16KB ROM, half of which was selectable by a two-position switch. The first 8KB contains “AST Utility 1010 c9bce220”, and the second 8KB contains the 4KB “KSO 2T12 b57ec5f1” cartridge copied twice.",19xx,,e9da4eaa,16KB,-,ast2k,"http://www.jsobola.republika.pl/schematy.htm
http://www.jsobola.republika.pl/atariepr/ast2000.zip"
AST Multi-Cartridge 2.B,Requires the “Atari Super Turbo” hardware modification installed in a tape recorder. Boot with Select pressed.,1990,Atari Studio,6a295eb0,32KB,AST,,"http://seban.slight.pl/atari/ast/
http://seban.slight.pl/atari/ast/AST_multi_cartridge.bin"
AST Utility 1010,"[a 45c1ff0c] The AST hardware modifications of the early 1010 and the later 1010 and XC12 differed a bit from the programmer's point of view, so two sets of supporting software were needed. Also included in AST 2000 e9da4eaa.",1988,Atari Studio,c9bce220,8KB,Phoenix,ast2,"http://www.jsobola.republika.pl/schematy.htm
http://www.jsobola.republika.pl/atariepr/astturbo.zip Note: the file ASTTURBO.EPR contains additional 6 bytes of header, which should be removed to obtain the ROM image."
AST Utility XC12,Requires the “Atari Super Turbo” hardware modification installed in a tape recorder. ,1988,Atari Studio,45c1ff0c,8KB,Phoenix,ast1,http://ftp.pigwa.net/stuff/mirror/www.atari.cuprum.com.pl/ast.htm
Asteroids,[!] 3 or 4 player gameplay works only on 400/800.,1981,Atari,f9fff4a4,8KB,Standard,asteroid,"http://www.atarimania.com/game-atari-400-800-xl-xe-asteroids_352.html
http://www.atarimania.com/atari_forum/viewtopic.php?f=2&t=2304#p15819
http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2706571"
Asteroids,[m f9fff4a4][cr] Code that wrote to ROM area at $1834 replaced with NOPs.,1981,Atari,7ed3e6a3,8KB,Standard,,http://atarionline.pl/arch/A/Asteroids//Asteroids%20%281981%29%28Atari%29%28US%29%5Bcr%5D.bin
Astro Chase,[!] 400/800 only.,1983,Parker Brothers,11f1c7fa,16KB,Standard,achase1,"http://www.atarimania.com/game-atari-400-800-xl-xe-astro-chase_6002.html
http://www.atarimania.com/atari_forum/viewtopic.php?f=2&t=2304#p15819
http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2706571"
Astro Chase,"[!][a 11f1c7fa] credits, other changes. XL/XE only. Released only as part of the Max-a-Flex system.",1984,First Star Software,18752991,16KB,Standard,achase,"http://www.atarimania.com/game-atari-400-800-xl-xe-astro-chase_356.html
http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2482215"
Astro-Grover,[!],1984,CBS Software,85b67797,16KB,Standard,astrgrvr,"http://www.atarimania.com/game-atari-400-800-xl-xe-astro-grover_362.html
http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2706571"
Astro-Grover,[a 85b67797],1984,CBS Software,f44a0aeb,16KB,Standard,,http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2240191
Atari Blizzard Hit,Label says “Turbo Hit”. Requires the “Blizzard” hardware modification installed in a tape recorder.,199x,,cd0d086f,32KB,Blizzard,,http://www.atari.org.pl/forum/viewtopic.php?id=7292
Atari Logo,,1983,Atari,9663db9d,16KB,Standard,alogo,http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2706571
Atari Logo,[m 9663db9d][cr] NOPs at $88AF-$88B1 instead of code that wrote to ROM area.,1983,Atari,5bdff48f,16KB,Standard,,"http://www.jsobola.republika.pl/schematy.htm
http://www.jsobola.republika.pl/atariepr/logocrt.zip
http://www.atarimania.com/utility-atari-400-800-xl-xe-atari-logo_15782.html"
Atari Logo,"[a] French language version. LOGO statements are also translated – AFAIK a French institution, Centre Mondial Informatique et Ressource Humaine, devised a French translation of the language for educational purposes, and the Atari version conforms to that translation.",1983,Atari France,242d5e2d,16KB,Standard,alogof,http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2329604
Atari Logo,Does it differ from the US release?,1983,Atari Germany,,,,,http://www.atarimania.com/utility-atari-400-800-xl-xe-atari-logo_15928.html
Atari Logo,[a] Translated to Spanish.,,MultiSoft,,,,,"http://atariage.com/forums/topic/277001-spanish-atari-writer/?p=3993340
http://www.atariware.cl/aw/portal/index.php/publicaciones/manuales/124-programas-multisoft
http://www.atarimax.com/jindroush.atari.org/acdpx_pi.html"
Atari Turbo System Cartridge v.4.0,"Title screen shows the name “System Cartridge”. Later version of Super Cartridge v.3 1cd5a5e0. Requires the “Atari Super Turbo” hardware modification (or compatible ATT, UM) installed in a tape recorder. ",19xx,Unerring Master,a68aa4a5,16KB,Blizzard,sprcart,"http://seban.slight.pl/atari/um_super_cart/
http://seban.slight.pl/atari/um_super_cart/UM_SuperCart%20(27128).rom"
AtariArtist,"Referenced by Checksum Verifier (Atari ARTIST (A), checksum $169E).",,Atari,,,,,
AtariArtist,"[!] Recognized by Checksum Verifier (ATARI ARTIST (B), checksum $91C5).",1983,Atari,bbe37542,16KB,Standard,aartist,"http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2706571
http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2349473"
AtariGraphics,Prototype. Reviewed at AtariProtos.,1983,Atari,50b573cd,16KB,Standard,,http://atariage.com/forums/topic/195356-some-a8ti-and-colecovision-protos-and-some-questions/?p=2499948
AtariGraphics,[!],1984,Atari,6ccdb004,16KB,Standard,agraphcs,"http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2706571
http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2349473"
AtariLab Light Module,[!],1984,Atari,9be1c9e4,16KB,Standard,alight,"http://www.atarimania.com/atari_forum/viewtopic.php?f=2&t=2304#p15819
http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2706571
http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2974043"
AtariLab Temperature Module,[!],1983,Atari,4036e465,16KB,Standard,atemp,"http://www.atarimania.com/atari_forum/viewtopic.php?f=2&t=2304#p15819
http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2706571
http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2974043"
AtariEscritor Version 0,"Spanish version of AtariWriter. Apparently a prototype. Apart from the title, looks identical to MultiEscritor.",1984,Atari,,,,,http://atariage.com/forums/topic/277001-spanish-atari-writer/
AtariSchreiber,"Supported printers: 1025, 1020, 1027, Epson FX-80.",1983,Atari Germany,de1c1d12,16KB,Standard,,"http://www.atarimania.com/utility-atari-400-800-xl-xe-atarischreiber_15865.html
http://atariwiki.strotmann.de/wiki/Wiki.jsp?page=Atari%20Schreiber"
AtariTexte,"[a b4ddbec7] Prototype or beta. French language version of AtariWriter - ROM layout is wildly different, also doesn't contain any joystick-checking routines. Supports French character set (even on a 400/800) and French keyboard layout (eg. Numbers written with Shift). When deleting to EOF (Select+BkSp), it asks “Suppres Jusqu'a la Fichier, O/N ?” (“Delete to file, Y/N ?”). (Original English cartridge asks “DELETE TO EOF - ARE YOU SURE, Y/N ?”) Supported printers: 1020, 1025, 1027, Epson FX-80.",1984,Atari France,fabaf286,16KB,Standard,atexte1,http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2329604
AtariTexte,"[!][a fabaf286] Final version. The Select+BkSp prompt is fixed to more correct “Suppres. Jusqu'a la Fin de Fichier, O/N ?”) (“Delete to end of file, Y/N ?”). Might contain other changes. Supported printers: 1020, 1025, 1027, Epson FX-80.",1984,Atari France,2aff4a94,16KB,Standard,atexte,http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2329604
AtariWriter rev. #3,"Prototype. Reportedly, contains a few easter eggs: http://www.digitpress.com/eastereggs/a48atariwriter.htm.",,Atari,,,,,http://www.digitpress.com/eastereggs/a48atariwriter.htm
AtariWriter rev. A,"[!] Identical to prototype rev. #7 (reviewed at AtariProtos). Contains a few easter eggs: http://www.digitpress.com/eastereggs/a48atariwriter.htm. More about the easter egg at http://www.atariprotos.com/8bit/software/atariwriter/atariwriter.htm. Supported printers: 820, 822, 825, 1025. Recognized by Checksum Verifier (ATARIWRITER, checksum $DED0).",1982,Atari,1c2498a4,16KB,Standard,awritera,"http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2329604
http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2706571
http://www.44342.com/atari-f655-t2062-p1.htm#p10
http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2596339"
AtariWriter rev. B,"Reportedly, fixes some XL compatibility issues: http://www.digitpress.com/eastereggs/a48atariwriter.htm. Referenced in Checksum Verifier (ATARIWRITER REV B, checksum $AE00).",1982,Atari,,,,,
AtariWriter,"[!][a 1c2498a4] slightly more similar to 1c2498a4 than to b4ddbec7. Does not contain any joystick-checking routines. Supported printers: 820, 822, 825, 1025. Recognized by Checksum Verifier (ATARIWRITER, checksum $A097, in source listing called “ATARIWRITER (C)”).",1982,Atari,7be4533d,16KB,Standard,awriterb,"http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2240191
http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2595798"
AtariWriter rev. #16,"Prototype. Reportedly, supports printers: 825, 1020, 1025, 1027. Might be the same as b4ddbec7.",,Atari,,,,,http://www.digitpress.com/eastereggs/a48atariwriter.htm
AtariWriter rev. C,"[!][a] Does not contain any joystick-checking routines (no easter eggs). Supported printers: 825, 1020, 1025, 1027. Recognized by Checksum Verifier (ATARIWRITER, checksum $33A7, in source listing called “ATARIWRITER (D)”).",1984,Atari,b4ddbec7,16KB,Standard,awriterc,"http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2329604
http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2706571"
